Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
270,Paul Thompson\thomppa01,SF,23,CLE,33,27,21.7,4.5,10.7,.418,0.2,0.7,.261,4.3,10.0,.429,.427,1.4,1.6,.849,1.1,2.4,3.5,1.8,1.2,0.6,1.3,2.3,10.5
270,Paul Thompson\thomppa01,SF,23,MIL,16,0,14.2,2.6,6.6,.390,0.0,0.4,.000,2.6,6.1,.418,.390,1.5,2.1,.706,1.3,1.3,2.6,1.3,0.9,0.3,0.9,2.6,6.6
271,Otis Thorpe\thorpot01,PF,22,KCK,82,23,23.4,5.0,8.4,.600,0.0,0.0,.000,5.0,8.3,.602,.600,2.8,4.5,.620,2.3,4.5,6.8,1.4,0.4,0.5,2.3,3.1,12.8
272,Sedale Threatt\threase01,PG,23,PHI,82,0,15.9,2.3,5.1,.452,0.0,0.3,.182,2.2,4.8,.467,.457,0.8,1.1,.733,0.3,1.0,1.2,2.1,1.0,0.2,1.2,2.1,5.4
273,Andrew Toney\toneyan01,SG,27,PHI,70,65,32.0,6.4,13.1,.492,0.6,1.5,.371,5.9,11.6,.508,.514,4.4,5.1,.862,0.5,2.0,2.5,5.2,0.9,0.3,3.2,3.0,17.8
274,Linton Townes\towneli01,SF,25,SAS,1,0,8.0,0.0,6.0,.000,0.0,0.0,,0.0,6.0,.000,.000,2.0,2.0,1000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
275,Kelly Tripucka\tripuke01,SF,25,DET,55,43,30.5,7.2,15.1,.477,0.0,0.1,.400,7.2,15.0,.477,.478,4.6,5.2,.885,1.2,2.8,4.0,2.5,0.9,0.3,2.1,2.1,19.1
276,Trent Tucker\tucketr01,SG,25,NYK,77,46,23.6,3.8,7.9,.483,0.4,0.9,.403,3.4,6.9,.494,.507,0.5,0.6,.792,1.0,1.5,2.4,2.6,1.0,0.2,0.8,2.5,8.5
277,Elston Turner\turneel01,SF,25,DEN,81,2,18.4,2.2,4.8,.466,0.0,0.1,.167,2.2,4.7,.471,.468,0.6,0.8,.785,1.1,1.6,2.7,2.0,1.2,0.1,0.9,1.9,5.1
278,Jeff Turner\turneje01,C,22,NJN,72,36,19.8,2.4,5.2,.454,0.0,0.0,.000,2.4,5.2,.457,.454,1.1,1.3,.859,1.2,1.8,3.0,1.5,0.4,0.1,1.3,3.4,5.8
279,Melvin Turpin\turpime01,C,24,CLE,79,45,24.7,4.6,9.0,.511,0.0,0.0,,4.6,9.0,.511,.511,1.4,1.8,.784,2.0,3.8,5.7,0.5,0.5,1.1,1.5,2.7,10.6
280,Terry Tyler\tylerte01,SF,28,DET,82,53,24.4,5.1,10.4,.494,0.0,0.1,.000,5.1,10.3,.498,.494,1.3,1.8,.716,1.8,3.4,5.2,0.8,0.6,1.1,0.9,2.3,11.6
281,Darnell Valentine\valenda01,PG,25,POR,75,59,30.4,4.3,9.1,.473,0.0,0.0,.000,4.3,9.0,.474,.473,3.1,3.9,.793,0.7,2.2,2.9,7.0,1.9,0.1,2.6,2.5,11.6
282,Kiki Vandeweghe\vandeki01,SF,26,POR,72,69,34.8,8.6,16.1,.534,0.2,0.5,.333,8.4,15.6,.540,.538,5.1,5.7,.896,1.0,2.1,3.2,1.5,0.5,0.3,1.6,1.6,22.4
283,Pete Verhoeven\verhope01,C,25,KCK,54,0,6.8,0.9,2.0,.472,0.0,0.0,,0.9,2.0,.472,.472,0.4,0.5,.840,0.5,0.6,1.2,0.3,0.3,0.1,0.4,1.6,2.3
284,Jay Vincent\vinceja01,C,25,DAL,79,47,32.2,6.9,14.4,.479,0.0,0.1,.000,6.9,14.4,.481,.479,4.4,5.3,.836,2.3,6.6,8.9,2.1,0.6,0.3,2.2,2.9,18.2
285,Danny Vranes\vraneda01,SF,26,SEA,76,70,28.5,2.4,5.3,.463,0.0,0.1,.250,2.4,5.2,.465,.464,0.9,1.7,.528,2.0,3.7,5.7,2.0,1.0,0.8,1.6,3.4,5.8
286,Granville Waiters\waitegr01,C,24,IND,62,5,11.3,1.4,3.1,.447,0.0,0.0,.000,1.4,3.0,.450,.447,0.5,0.8,.580,0.9,1.8,2.7,0.5,0.3,0.7,0.9,1.7,3.2
